label,message
ham,Hey how are you?
spam,Congrats! You've won a free ticket!
ham,Are we meeting today?
spam,Click this link to claim your prize.
ham,See you at 5pm.
spam,"Get money fast, just sign up now!"
ham,What time is the class?
spam,You’ve been selected for a free gift.
ham,Let’s catch up soon.
spam,Exclusive deal only for you.
ham,Did you bring the file?
spam,Call now to win big.
ham,I will call you later.
spam,Free recharge coupon inside!
ham,Assignment deadline is tomorrow.
spam,Claim your lottery now.
ham,Good morning!
spam,You are a lucky winner!
ham,Are you coming?
spam,Get your free offer now!
